CLASSIF,DATE_CASE,REF,NOT_COUNTRY,SUBJET,PROD_CAT,TYPE,RISK_DECISION,ACTION_TAKEN,DISTRIBUTION_STAT,PRODUCT,HAZARDS,HAZARDS_CAT,COUNT_ORIGEN
border rejection,2009-04-27,2009.AVL,Spain,poor hygienic state of jumbo squid rings (Dosidicus gigas) from Peru,cephalopods and products thereof,food,undecided,(obsolete),no distribution,jumbo squid rings (dosidicus gigas),poor hygienic state,poor or insufficient controls,Peru
border rejection,2009-04-27,2009.AVG,United Kingdom,prohibited substance nitrofuran (metabolite) nitrofurazone (SEM) in frozen shrimps from Bangladesh,crustaceans and products thereof,food,undecided,re-dispatch,no distribution,frozen shrimps,prohibited substance nitrofuran (metabolite) nitrofurazone (sem),residues of veterinary medicinal products,Bangladesh
border rejection,2009-04-27,2009.AVD,Netherlands,aflatoxins (B1 = 6.5; Tot. = 7.4 µg/kg - ppb) in groundnut kernels from Argentina,"nuts, nut products and seeds",food,undecided,official detention,no distribution,groundnut kernels,aflatoxins,mycotoxins,Argentina
border rejection,2009-04-27,2009.AVE,Greece,absence of health certificate(s) for corned beef from Brazil,meat and meat products (other than poultry),food,undecided,re-dispatch,no distribution,corned beef,absence of health certificate(s),adulteration / fraud,Brazil
border rejection,2009-04-27,2009.AVN,Poland,rodent excrements in hibiscus flower from Nigeria infested with moulds,"cocoa and cocoa preparations, coffee and tea",food,undecided,re-dispatch,no distribution,hibiscus flower,"infested with moulds,rodent excrements","microbial contaminants (other),foreign bodies",Nigeria
border rejection,2009-04-27,2009.AVP,Belgium,prohibited substance nitrofuran (metabolite) nitrofurazone (SEM) (17 - 2.6 - 8.5 - 12 - 7 µg/kg - ppb) in frozen freshwater headless shell on IQF shrimps (Macrobrachium rosenberg) from Bangladesh,crustaceans and products thereof,food,undecided,re-dispatch,no distribution,frozen freshwater headless shell on iqf shrimps (macrobrachium rosenberg),prohibited substance nitrofuran (metabolite) nitrofurazone (sem),residues of veterinary medicinal products,Bangladesh
alert,2009-04-27,2009.0527,Germany,Salmonella (presence /25g) in peeled sesame seeds dispatched from Germany and the Netherlands,"nuts, nut products and seeds",food,undecided,withdrawal from the market,distribution on the market (possible),peeled sesame seeds,salmonella,pathogenic micro-organisms,"Germany,Netherlands"
information,2009-04-27,2009.0534,Belgium,organic wheat from Italy infested with rats,cereals and bakery products,food,undecided,return to consignor,distribution restricted to notifying country,organic wheat,infested with rats,poor or insufficient controls,Italy
alert,2009-04-27,2009.0536,Belgium,prohibited substance nitrofuran (metabolite) nitrofurazone (SEM) (4.3 µg/kg - ppb) in frozen raw headless shell-on freshwater king prawns (Macrobrachium rosenbergii) from Bangladesh,crustaceans and products thereof,food,undecided,(obsolete),distribution on the market (possible),frozen raw headless shell-on freshwater king prawns (macrobrachium rosenbergii),prohibited substance nitrofuran (metabolite) nitrofurazone (sem),residues of veterinary medicinal products,Bangladesh
information,2009-04-27,2009.0530,Netherlands,unauthorised substance triazophos (10 mg/kg - ppm) in curry leaves from India,herbs and spices,food,undecided,no action taken,no stock left,curry leaves,unauthorised substance triazophos,pesticide residues,India
border rejection,2009-04-24,2009.AUY,Netherlands,aflatoxins (B1 = 4.0; Tot. = 4.5 / B1 = 19.5; Tot. = 22.0 µg/kg - ppb) in groundnut kernels from Argentina,"nuts, nut products and seeds",food,undecided,official detention,no distribution,groundnut kernels,aflatoxins,mycotoxins,Argentina
information,2009-04-24,2009.0520,Spain,high level of acidity (citric acid:4.41-4.95; pH (D100): 2.95-2.98 %) in liquid candy from Colombia,confectionery,food,undecided, ,information on distribution not (yet) available,liquid candy,high level of acidity,organoleptic aspects,Colombia
information,2009-04-24,2009.0522,Denmark,fraud - expiry dates changed of chicken meat in teriyaki on a stick from Thailand relabelled in Denmark,poultry meat and poultry meat products,food,undecided,withdrawal from the market,distribution on the market (possible),chicken meat in teriyaki on a stick,fraud - expiry dates changed,adulteration / fraud,"Denmark,Thailand"
alert,2009-04-24,2009.0521,United Kingdom,undeclared egg in chocolate cake from the United Kingdom,cereals and bakery products,food,undecided,recall from consumers,distribution on the market (possible),chocolate cake,egg undeclared,allergens,United Kingdom
information,2009-04-24,2009.0523,Commission Services,unauthorised genetically modified (Bt 63) rice sticks from China,cereals and bakery products,food,undecided,withdrawal from the market,distribution restricted to notifying country,rice sticks,unauthorised genetically modified,genetically modified food or feed,China
alert,2009-04-24,2009.0524,United Kingdom,undeclared nuts (>200 mg/kg - ppm) in organic puffed rice from the United Kingdom,cereals and bakery products,food,undecided,recall from consumers,distribution on the market (possible),organic puffed rice,nuts undeclared,allergens,United Kingdom
border rejection,2009-04-23,2009.AUV,Poland,sultana raisins from Turkey infested with moulds,fruits and vegetables,food,undecided,re-dispatch,no distribution,sultana raisins,infested with moulds,microbial contaminants (other),Turkey
border rejection,2009-04-23,2009.AUQ,Italy,unauthorised novel food ingredient Trametes versicolor in food supplements from the United States,"dietetic foods, food supplements, fortified foods",food,undecided,re-dispatch,no distribution,food supplements,unauthorised novel food ingredient trametes versicolor,novel food,United States
border rejection,2009-04-23,2009.AUS,Italy,arsenic (19 mg/kg - ppm) in roasted seaweed from the Republic of Korea,fruits and vegetables,food,undecided,re-dispatch,no distribution,roasted seaweed,arsenic,metals,South Korea
border rejection,2009-04-23,2009.AUU,Malta,spoilage and poor temperature control - rupture of the cold chain - of chilled fish from Senegal,fish and fish products,food,undecided,destruction,no distribution,chilled fish,"poor temperature control - rupture of the cold chain -,spoilage","poor or insufficient controls,organoleptic aspects",Senegal
border rejection,2009-04-23,2009.AUT,Belgium,prohibited substance nitrofuran (metabolite) nitrofurazone (SEM) (14 µg/kg - ppb) in frozen freshwater shell-on IQF shrimps from Bangladesh,crustaceans and products thereof,food,undecided,re-dispatch,no distribution,frozen freshwater shell-on iqf shrimps,prohibited substance nitrofuran (metabolite) nitrofurazone (sem),residues of veterinary medicinal products,Bangladesh
alert,2009-04-23,2009.0518,Sweden,oxamyl (0.16; 0.14 mg/kg - ppm) in peaches from Egypt,fruits and vegetables,food,undecided,withdrawal from the market,distribution on the market (possible),peaches,oxamyl,pesticide residues,Egypt
information,2009-04-23,2009.0511,Germany,prohibited substance nitrofuran (metabolite) nitrofurazone (SEM) (8.6 µg/kg - ppb) in chilled shrimps (Macrobrachium rosenbergii) from Sri Lanka,crustaceans and products thereof,food,undecided,informing recipient(s),product already consumed,chilled shrimps (macrobrachium rosenbergii),prohibited substance nitrofuran (metabolite) nitrofurazone (sem),residues of veterinary medicinal products,Sri Lanka
information,2009-04-23,2009.0513,Germany,"inner coating peeling off from wok with non-stick coating from China, via the Netherlands",food contact materials,fcm,undecided,withdrawal from the market,distribution on the market (possible),wok with non-stick coating,inner coating peeling off,migration,China
information,2009-04-23,2009.0517,Sweden,Salmonella in peppermint (Mentha cordifolia) from Thailand,herbs and spices,food,undecided,no stock left,product already consumed,peppermint (mentha cordifolia),salmonella,pathogenic micro-organisms,Thailand
border rejection,2009-04-23,2009.AUN,Netherlands,aflatoxins (B1 = 140; Tot. = 153 µg/kg - ppb) in pistachio nuts from the United States,"nuts, nut products and seeds",food,undecided,re-dispatch,no distribution,pistachio nuts,aflatoxins,mycotoxins,United States
border rejection,2009-04-23,2009.AUJ,Netherlands,aflatoxins (B1 = 0.5; Tot. = 0.6 / B1 = 0.8; Tot. = 0.9 / B1 = 4.1; Tot. = 6.4 µg/kg - ppb) in blanched groundnuts from Brazil,"nuts, nut products and seeds",food,undecided,(obsolete),no distribution,blanched groundnuts,aflatoxins,mycotoxins,Brazil
border rejection,2009-04-23,2009.AUP,Lithuania,parasitic infestation with nematodes (dead larvae of Philometra spp.) of frozen pike perch fillets (Stizostedion lucioperca) from the Russian Federation,fish and fish products,food,undecided,re-dispatch,no distribution,frozen pike perch fillets (stizostedion lucioperca),parasitic infestation with nematodes,parasitic infestation,Russia
information,2009-04-23,2009.0516,Sweden,Salmonella in amaranth greens (hing choi) from Thailand,herbs and spices,food,undecided,no stock left,product already consumed,amaranth greens (hing choi),salmonella,pathogenic micro-organisms,Thailand
information,2009-04-23,2009.0514,Malta,unauthorised novel food ingredient Hoodia gordonii in dietetic food from Spain,"dietetic foods, food supplements, fortified foods",food,undecided,withdrawal from the market,distribution on the market (possible),dietetic food,unauthorised novel food ingredient hoodia gordonii,novel food,Spain
border rejection,2009-04-23,2009.AUL,Netherlands,aflatoxins (B1 = 12.8; Tot. = 13.8 µg/kg - ppb) in peanut kernels from China,"nuts, nut products and seeds",food,undecided,official detention,no distribution,peanut kernels,aflatoxins,mycotoxins,China
border rejection,2009-04-23,2009.AUX,Belgium,prohibited substance nitrofuran (metabolite) nitrofurazone (SEM) (19 µg/kg - ppb) in frozen freshwater shrimps from Bangladesh,crustaceans and products thereof,food,undecided,re-dispatch,no distribution,frozen freshwater shrimps,prohibited substance nitrofuran (metabolite) nitrofurazone (sem),residues of veterinary medicinal products,Bangladesh
information,2009-04-23,2009.0509,United Kingdom,histamine (261; 36; <10; 35; 20; 21; 40; 47 mg/kg - ppm) in frozen whole tuna (Thunnus spp.) from India,fish and fish products,food,undecided,recall from consumers,distribution restricted to notifying country,frozen whole tuna (thunnus spp.),histamine,biological contaminants (other),India
border rejection,2009-04-23,2009.AUM,Netherlands,aflatoxins (B1 = 8.7; Tot. = 10.0 µg/kg - ppb) in groundnut kernels from Paraguay,"nuts, nut products and seeds",food,undecided,official detention,no distribution,groundnut kernels,aflatoxins,mycotoxins,Paraguay
border rejection,2009-04-23,2009.AUW,Greece,unsuitable organoleptic characteristics of fish feed from Israel,compound feeds,feed,undecided,re-dispatch,no distribution,fish feed,unsuitable organoleptic characteristics,organoleptic aspects,Israel
information,2009-04-23,2009.0519,Slovenia,Salmonella infantis (1 out of 5 positive) in pork/chicken medaillons from Austria,poultry meat and poultry meat products,food,undecided,no stock left,product past use-by date,pork/chicken medaillons,salmonella enterica ser. infantis,pathogenic micro-organisms,Austria
alert,2009-04-23,2009.0515,Sweden,"metal pieces in cardamom seeds from Guatemala, via the Netherlands",herbs and spices,food,undecided, ,distribution on the market (possible),cardamom seeds,metal pieces,foreign bodies,Guatemala
border rejection,2009-04-23,2009.AUK,Netherlands,aflatoxins (B1 = 13; Tot. = 13 / B1 = 91; Tot. = 120 µg/kg - ppb) in pîstachios from the United States,"nuts, nut products and seeds",food,undecided,official detention,no distribution,pîstachios,aflatoxins,mycotoxins,United States
border rejection,2009-04-23,2009.AUO,Germany,unauthorised colours Sudan 1 (0.022 mg/kg - ppm) and Sudan 4 (0.220 mg/kg - ppm) in chilli powder from the United Arab Emirates,herbs and spices,food,undecided,destruction,no distribution,chilli powder,"unauthorised colour sudan 1,unauthorised colour sudan 4","composition,composition",United Arab Emirates
information,2009-04-23,2009.0512,Germany,prohibited substance nitrofuran (metabolite) nitrofurazone (SEM) (1.9 µg/kg - ppb) in chilled shrimps (Macrobrachium rosenbergii) from Sri Lanka,crustaceans and products thereof,food,undecided,informing recipient(s),product already consumed,chilled shrimps (macrobrachium rosenbergii),prohibited substance nitrofuran (metabolite) nitrofurazone (sem),residues of veterinary medicinal products,Sri Lanka
border rejection,2009-04-23,2009.AUR,Italy,toluene (20 µg/kg - ppb) in vanillin powder from China,food additives and flavourings,food,undecided,placed under customs seals,no distribution,vanillin powder,toluene,environmental pollutants,China
information,2009-04-23,2009.0510,Finland,rodent (young rat) in frozen baked Baltic herring fillets from Sweden,fish and fish products,food,undecided,withdrawal from the market,distribution restricted to notifying country,frozen baked baltic herring fillets,rodent,foreign bodies,Sweden
alert,2009-04-22,2009.0507,Germany,"unauthorised colour Orange II (560; 620 µg/kg - ppb) in safflower from China, manufactured in the United States, processed in Austria",herbs and spices,food,undecided,withdrawal from the market,distribution on the market (possible),safflower, , ,"Austria,China,United States"
alert,2009-04-22,2009.0508,Spain,undeclared milk ingredient (>25 mg/kg - ppm) in probiotic food supplement from France,"dietetic foods, food supplements, fortified foods",food,undecided,relabelling,distribution on the market (possible),probiotic food supplement,milk ingredient undeclared,allergens,France
border rejection,2009-04-21,2009.AUG,Spain,bad hygienic state (intensive ammoniac smell) of fish from Senegal,fish and fish products,food,undecided,destruction,no distribution,fish,poor hygienic state,poor or insufficient controls,Senegal
border rejection,2009-04-21,2009.AUF,Greece,Listeria monocytogenes in frozen fish from Vietnam,fish and fish products,food,undecided,re-dispatch,no distribution,frozen fish,listeria monocytogenes,microbial contaminants (other),Vietnam
information,2009-04-21,2009.0503,Italy,"carbon monoxide treatment of frozen vacuum packaged tuna loins from Vietnam, via the Netherlands",fish and fish products,food,undecided,withdrawal from the market,distribution on the market (possible),frozen vacuum packaged tuna loins,carbon monoxide treatment,composition,Vietnam
border rejection,2009-04-21,2009.AUD,Greece,Salmonella enterica in bivalve molluscs from Turkey,bivalve molluscs and products thereof,food,undecided,destruction,no distribution,bivalve molluscs,salmonella,pathogenic micro-organisms,Turkey
border rejection,2009-04-21,2009.AUC,Spain,unauthorised colour Sudan 4 (75.7 µg/kg - ppb) in ground pepper from Bolivia,herbs and spices,food,undecided,re-dispatch,no distribution,ground pepper,unauthorised colour sudan 4,composition,Bolivia
information,2009-04-21,2009.0506,Lithuania,parasitic infestation (2 dead nematodes and trematodes larvae found) of frozen ungutted rudd (Scardinius erythrophtalmus) from the Russian Federation,fish and fish products,food,undecided, ,distribution on the market (possible),frozen ungutted rudd (scardinius erythrophtalmus),parasitic infestation,parasitic infestation,Russia
border rejection,2009-04-21,2009.AUB,Italy,parasitic infestation of john dory fish (Zeus faber) from Tunisia,fish and fish products,food,undecided,destruction,no distribution,john dory fish (zeus faber),parasitic infestation,parasitic infestation,Tunisia
border rejection,2009-04-21,2009.AUE,Greece,Listeria monocytogenes in frozen fish from Vietnam,fish and fish products,food,undecided,re-dispatch,no distribution,frozen fish,listeria monocytogenes,microbial contaminants (other),Vietnam
border rejection,2009-04-21,2009.AUH,Greece,Listeria monocytogenes in frozen fillets (Pangasius hypothalamus) from Vietnam,fish and fish products,food,undecided,re-dispatch,no distribution,frozen fillets (pangasius hypothalamus),listeria monocytogenes,microbial contaminants (other),Vietnam
alert,2009-04-21,2009.0504,Denmark,"unauthorised colour Sudan 1 (0.74 mg/kg - ppm) in curry paste from India, via the United Kingdom","soups, broths, sauces and condiments",food,undecided,withdrawal from the market,distribution on the market (possible),curry paste,unauthorised colour sudan 1,composition,India
border rejection,2009-04-21,2009.AUI,Netherlands,microbiological contamination of tuna from Ecuador,fish and fish products,food,undecided,destruction,no distribution,tuna,microbial contamination,microbial contaminants (other),Ecuador
information,2009-04-21,2009.0505,Poland,"Salmonella (presence /25g) in frozen turkey drumsticks from Italy, via Switzerland",poultry meat and poultry meat products,food,undecided,(obsolete),distribution on the market (possible),frozen turkey drumsticks,salmonella,pathogenic micro-organisms,"Italy,Switzerland"
information,2009-04-21,2009.0502,Italy,cadmium (11.38 mg/kg - ppm) in chilled crabs (Cancer pagurus) from France,crustaceans and products thereof,food,undecided,destruction,distribution on the market (possible),chilled crabs (cancer pagurus),cadmium,metals,France
border rejection,2009-04-21,2009.AUA,Finland,"migration of chromium (between 3.4 and 12 mg/dm²) from barbeque set from China, via Canada",food contact materials,fcm,undecided,official detention,no distribution,barbeque set,migration of chromium,metals,"Canada,China"
alert,2009-04-20,2009.0500,Belgium,prohibited substance nitrofuran (metabolite) nitrofurazone (SEM) (6 µg/kg - ppb) in block frozen freshwater headless shell-on shrimps (Macrobrachium rosenbergii) from Bangladesh,crustaceans and products thereof,food,undecided,(obsolete),distribution on the market (possible),block frozen freshwater headless shell-on shrimps (macrobrachium rosenbergii),prohibited substance nitrofuran (metabolite) nitrofurazone (sem),residues of veterinary medicinal products,Bangladesh
border rejection,2009-04-20,2009.ATY,Norway,Salmonella enterica (presence of) in frozen beef cuts from Namibia,meat and meat products (other than poultry),food,undecided,re-dispatch,no distribution,frozen beef cuts,salmonella,pathogenic micro-organisms,Namibia
information,2009-04-20,2009.0498,Finland,"Salmonella Augustenborg (presence /25g) and unauthorised substance carbofuran (0.92 mg/kg - ppm) in fresh coriander from Thailand, via the Netherlands",herbs and spices,food,undecided,official detention,product already consumed,fresh coriander,"salmonella enterica ser. augustenborg,unauthorised substance carbofuran","pathogenic micro-organisms,pesticide residues","Netherlands,Thailand"
border rejection,2009-04-20,2009.ATX,Germany,aflatoxins (Tot. = 6.0 µg/kg - ppb) in minced hazelnut kernels from Turkey,"nuts, nut products and seeds",food,undecided,re-dispatch,no distribution,minced hazelnut kernels,aflatoxins,mycotoxins,Turkey
information,2009-04-20,2009.0501,Belgium,unauthorised irradiation of food supplement from the United States,"dietetic foods, food supplements, fortified foods",food,undecided,withdrawal from the market,distribution on the market (possible),food supplement,unauthorised irradiation,radiation,United States
border rejection,2009-04-20,2009.ATZ,Finland,migration of chromium (8.2; 4.9; 3.4-4.7 mg/dm²) from barbecue set from China,food contact materials,fcm,undecided,official detention,no distribution,barbecue set,migration of chromium,metals,China
information,2009-04-20,2009.0497,Denmark,too high content of sulphite (16 mg/kg - ppm) in Flame seedless grapes from South Africa,fruits and vegetables,food,undecided,no stock left,product already consumed,flame seedless grapes,too high content of sulphite,food additives and flavourings,South Africa
information,2009-04-20,2009.0495,Spain,Salmonella enterica in fish meal from Spain,feed materials,feed,undecided, ,distribution on the market (possible),fish meal,salmonella,pathogenic micro-organisms,Spain
information,2009-04-20,2009.0499,United Kingdom,metal fragments in prepacked pizza from Ireland,prepared dishes and snacks,food,undecided,recall from consumers,distribution on the market (possible),prepacked pizza,metal fragments,foreign bodies,Ireland
border rejection,2009-04-17,2009.ATR,Finland,unauthorised colour Rosella extract in instant three mix and water chestnut tapioca desserts from Thailand,prepared dishes and snacks,food,undecided,official detention,no distribution,instant three mix and water chestnut tapioca desserts,unauthorised colour rosella extract,composition,Thailand
border rejection,2009-04-17,2009.ATV,Italy,aflatoxins (B1 = < 0.1; Tot. = < 0.1 / B1 = 6.3; Tot. = 7.6 / B1 = 0.2; Tot. = 0.2 µg/kg - ppb) in groundnuts in shell from Egypt,"nuts, nut products and seeds",food,undecided,re-dispatch,no distribution,groundnuts in shell,aflatoxins,mycotoxins,Egypt
alert,2009-04-17,2009.0491,United Kingdom,undeclared milk ingredient in candies from Poland,confectionery,food,undecided,withdrawal from the market,distribution on the market (possible),candies,milk ingredient undeclared,allergens,Poland
border rejection,2009-04-17,2009.ATT,Finland,too high content of E 211 - sodium benzoate (485 mg/l) in canned orange soda from the United States,non-alcoholic beverages,food,undecided,official detention,no distribution,canned orange soda,too high content of e 211 - sodium benzoate,food additives and flavourings,United States
border rejection,2009-04-17,2009.ATW,Belgium,Salmonella enterica (presence /25g) and too high count of Enterobacteriaceae (650 CFU/g) in mixed pet food from the United States,pet food,feed,undecided,destruction,no distribution,mixed pet food,"salmonella,too high count of enterobacteriaceae","pathogenic micro-organisms,microbial contaminants (other)",United States
information,2009-04-17,2009.0494,Italy,too high content of nitrate (293 mg/kg - ppm) in dried beef bresaola from Italy,meat and meat products (other than poultry),food,undecided,withdrawal from the market,distribution on the market (possible),dried beef bresaola,too high content of nitrate,composition,Italy
information,2009-04-17,2009.0490,Czech Republic,too high content of sulphite (1944 mg/kg - ppm) in dried peaches from China,fruits and vegetables,food,undecided,withdrawal from the market,distribution on the market (possible),dried peaches,too high content of sulphite,food additives and flavourings,China
border rejection,2009-04-17,2009.ATQ,Spain,spoilage of fresh melons from Brazil,fruits and vegetables,food,undecided,re-dispatch,no distribution,fresh melons,spoilage,organoleptic aspects,Brazil
information,2009-04-17,2009.0492,Italy,cadmium (6.95 mg/kg - ppm) in chilled crabs (Cancer pagurus) from France,crustaceans and products thereof,food,undecided,destruction,distribution on the market (possible),chilled crabs (cancer pagurus),cadmium,metals,France
border rejection,2009-04-17,2009.ATS,Greece,improper health certificate(s) for frozen beef from Brazil,meat and meat products (other than poultry),food,undecided,re-dispatch,no distribution,frozen beef,improper health certificate(s),adulteration / fraud,Brazil
information,2009-04-17,2009.0488,Germany,"high content of aluminium (60 mg/kg - ppm) in quick cooking noodles from China, via the Netherlands",cereals and bakery products,food,undecided,withdrawal from the market,distribution on the market (possible),quick cooking noodles,high content of aluminium,composition,"China,Netherlands"
alert,2009-04-17,2009.0489,Belgium,prohibited substance nitrofuran (metabolite) nitrofurazone (SEM) (2.4 - 8.5 µg/kg - ppb) in frozen fresh water headless shell on king prawns (Macrobrachium rosenbergii) from Bangladesh,crustaceans and products thereof,food,undecided,(obsolete),distribution on the market (possible),frozen fresh water headless shell on king prawns (macrobrachium rosenbergii),prohibited substance nitrofuran (metabolite) nitrofurazone (sem),residues of veterinary medicinal products,Bangladesh
border rejection,2009-04-17,2009.ATU,Italy,aflatoxins (B1 = < 0.1; Tot. = < 0.1 / B1 = 22.7; Tot. = 27.6 µg/kg - ppb) in groundnuts in shell from Egypt,"nuts, nut products and seeds",food,undecided,re-dispatch,no distribution,groundnuts in shell,aflatoxins,mycotoxins,Egypt
information,2009-04-17,2009.0487,Germany,BSE tests not conducted on bovine meat and offal from Germany,meat and meat products (other than poultry),food,undecided,destruction,distribution on the market (possible),bovine meat and offal,bse tests not conducted,tses,Germany
alert,2009-04-17,2009.0493,Italy,parasitic infestation with Anisakis of chilled atlantic mackerel (Scomber scombrus) from Spain,fish and fish products,food,undecided,withdrawal from the market,distribution on the market (possible),chilled atlantic mackerel (scomber scombrus),parasitic infestation with anisakis,parasitic infestation,Spain
border rejection,2009-04-16,2009.ATG,Netherlands,aflatoxins (B1 = 6.6; Tot. = 7.4 µg/kg - ppb) in peanuts from the United States,"nuts, nut products and seeds",food,undecided,(obsolete),no distribution,peanuts,aflatoxins,mycotoxins,United States
border rejection,2009-04-16,2009.ATJ,Belgium,prohibited substance nitrofuran (metabolite) nitrofurazone (SEM) (2.8; 10.6; 7.4; 6.9 µg/kg - ppb) in frozen freshwater headless shell-on shrimps from Bangladesh,crustaceans and products thereof,food,undecided,re-dispatch,no distribution,frozen freshwater headless shell-on shrimps,prohibited substance nitrofuran (metabolite) nitrofurazone (sem),residues of veterinary medicinal products,Bangladesh
alert,2009-04-16,2009.0484,Belgium,prohibited substance nitrofuran (metabolite) nitrofurazone (SEM) (4.4 µg/kg - ppb) in frozen fresh water headless shell on shrimps (Macrobrachium rosenbergii) from Bangladesh,crustaceans and products thereof,food,undecided,(obsolete),distribution on the market (possible),frozen fresh water headless shell on shrimps (macrobrachium rosenbergii),prohibited substance nitrofuran (metabolite) nitrofurazone (sem),residues of veterinary medicinal products,Bangladesh
border rejection,2009-04-16,2009.ATN,Poland,lead (0.33 mg/kg - ppm) in fresh onions from Ukraine,fruits and vegetables,food,undecided,re-dispatch,no distribution,fresh onions,lead,metals,Ukraine
information,2009-04-16,2009.ATO,United Kingdom,Salmonella in sweet basil from Thailand,herbs and spices,food,undecided,(obsolete),distribution restricted to notifying country,sweet basil,salmonella,pathogenic micro-organisms,Thailand
alert,2009-04-16,2009.0486,Denmark,Salmonella Dublin (6 out of 12) in chilled beef from the Netherlands,meat and meat products (other than poultry),food,undecided,withdrawal from the market,distribution on the market (possible),chilled beef,salmonella enterica ser. dublin,pathogenic micro-organisms,Netherlands
border rejection,2009-04-16,2009.ATL,Spain,aflatoxins (B1 = 2.0; Tot. = 3.9 / B1 = 3.8; Tot. = 3.8 / Tot. = <2.0 µg/kg - ppb) in peeled groundnut kernels from China,"nuts, nut products and seeds",food,undecided,re-dispatch,no distribution,peeled groundnut kernels,aflatoxins,mycotoxins,China
border rejection,2009-04-16,2009.ATF,United Kingdom,too high content of sulphite (2835 mg/kg - ppm) in dried apricots from Iran,fruits and vegetables,food,undecided,destruction,no distribution,dried apricots,too high content of sulphite,food additives and flavourings,Iran
border rejection,2009-04-16,2009.ATK,Belgium,prohibited substance nitrofuran (metabolite) nitrofurazone (SEM) (22.6; 6.3; 17.4; 4.4 µg/kg - ppb) in frozen freshwater headless shell-on shrimps (Macrobrachium rosenbergii) from Bangladesh,crustaceans and products thereof,food,undecided,re-dispatch,no distribution,frozen freshwater headless shell-on shrimps (macrobrachium rosenbergii),prohibited substance nitrofuran (metabolite) nitrofurazone (sem),residues of veterinary medicinal products,Bangladesh
border rejection,2009-04-16,2009.ATI,Belgium,prohibited substance nitrofuran (metabolite) nitrofurazone (SEM) (14.3; 12.6; 10.1; 5.8 µg/kg - ppb) in frozen freshwater headless shell on easy peel shrimps (macrobrachium rosenbergii) from Bangladesh,crustaceans and products thereof,food,undecided,re-dispatch,no distribution,frozen freshwater headless shell on easy peel shrimps (macrobrachium rosenbergii),prohibited substance nitrofuran (metabolite) nitrofurazone (sem),residues of veterinary medicinal products,Bangladesh
