PROD_CAT,NOT_COUNTRY,COUNT_ORIGEN,HAZARDS_CAT,HAZARDS,RISK_DECISION
food contact materials,germany,china,"metals,metals","migration of cadmium,migration of cobalt",undecided
fruits and vegetables,austria,austria,pathogenic micro-organisms,suspicion of clostridium botulinum,undecided
food contact materials,austria,china,migration,migration of formaldehyde,undecided
"nuts, nut products and seeds",spain,argentina,mycotoxins,aflatoxins,undecided
poultry meat and poultry meat products,austria,italy,pathogenic micro-organisms,salmonella group b,undecided
fruits and vegetables,romania,ukraine,foreign bodies,infested with insects,undecided
poultry meat and poultry meat products,romania,hungary,pathogenic micro-organisms,salmonella,undecided
milk and milk products,luxembourg,spain,foreign bodies,glass fragments,undecided
food contact materials,italy,thailand,"metals,metals","migration of chromium,migration of nickel",undecided
feed materials,spain,morocco,"pathogenic micro-organisms,microbial contaminants (other)","salmonella,too high count of enterobacteriaceae",undecided
fruits and vegetables,germany,italy,pesticide residues,folpet,undecided
"nuts, nut products and seeds",italy,turkey,mycotoxins,aflatoxins,undecided
"dietetic foods, food supplements, fortified foods",italy,united states,food additives and flavourings,unauthorised use of colour e 127 - erythrosine,undecided
fruits and vegetables,cyprus,syria,pesticide residues,unauthorised substance methamidophos,undecided
crustaceans and products thereof,netherlands,india,residues of veterinary medicinal products,prohibited substance nitrofuran (metabolite) nitrofurazone (sem),undecided
"dietetic foods, food supplements, fortified foods",germany,netherlands,pathogenic micro-organisms,salmonella enterica ser. montevideo,undecided
pet food,germany,india,"pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. amsterdam,salmonella enterica ser. edmonton",undecided
herbs and spices,italy,egypt,pathogenic micro-organisms,salmonella,undecided
pet food,germany,turkey,pathogenic micro-organisms,salmonella enterica ser. anatum,undecided
fruits and vegetables,finland,vietnam,food additives and flavourings,too high content of sulphite,undecided
food contact materials,slovenia,china,"metals,metals","migration of lead,migration of nickel",undecided
fruits and vegetables,germany,thailand,pesticide residues,indoxacarb,undecided
fruits and vegetables,germany,thailand,pesticide residues,acetamiprid,undecided
"nuts, nut products and seeds",denmark,turkey,pathogenic micro-organisms,salmonella enterica ser. typhimurium,undecided
crustaceans and products thereof,italy,madagascar,poor or insufficient controls,poor hygienic state,undecided
confectionery,finland,"sweden,thailand","food additives and flavourings,not determined / other","e 407 - carrageenan unauthorised,suffocation risk as a result of the consumption",undecided
cephalopods and products thereof,italy,indonesia,natural toxins (other),staphylococcal enterotoxin,undecided
feed materials,czech republic,germany,foreign bodies,fragments of bones of land animals,undecided
confectionery,finland,"sweden,taiwan","food additives and flavourings,not determined / other","e 406 - agar unauthorised,suffocation risk as a result of the consumption",undecided
confectionery,finland,"malaysia,netherlands","food additives and flavourings,not determined / other","e 407 - carrageenan unauthorised,suffocation risk as a result of the consumption",undecided
cephalopods and products thereof,spain,united states,parasitic infestation,parasitic infestation with anisakis,undecided
meat and meat products (other than poultry),spain,brazil,"organoleptic aspects,poor or insufficient controls","spoilage,thawed",undecided
herbs and spices,denmark,thailand,"microbial contaminants (other),pathogenic micro-organisms","escherichia coli,salmonella",undecided
"dietetic foods, food supplements, fortified foods",czech republic,"china,czech republic",radiation,unauthorised irradiation,undecided
milk and milk products,italy,switzerland,microbial contaminants (other),infested with moulds,undecided
other food product / mixed,netherlands,philippines,adulteration / fraud,unauthorised import,undecided
fish and fish products,italy,ecuador,organoleptic aspects,altered organoleptic characteristics,undecided
herbs and spices,commission services,"germany,indonesia",mycotoxins,aflatoxins,undecided
"dietetic foods, food supplements, fortified foods",belgium,"netherlands,united states","food additives and flavourings,composition,labelling absent/incomplete/incorrect","high content of caffeine,high content of vitamin b12,insufficient labelling",undecided
"dietetic foods, food supplements, fortified foods",belgium,united states,"labelling absent/incomplete/incorrect,novel food,composition","incorrect labelling,unauthorised novel food ingredient stevia rebaudiana,unauthorised placing on the market",undecided
bivalve molluscs and products thereof,finland,ireland,pathogenic micro-organisms,norovirus,undecided
fish and fish products,italy,vietnam,pathogenic micro-organisms,salmonella enterica ser. enteritidis,undecided
meat and meat products (other than poultry),sweden,"ireland,sweden",pathogenic micro-organisms,salmonella,undecided
non-alcoholic beverages,italy,china,food additives and flavourings,too high content of e 200 - sorbic acid,undecided
cereals and bakery products,luxembourg,france,genetically modified food or feed,unauthorised genetically modified,undecided
fish and fish products,united kingdom,taiwan,food additives and flavourings,too high content of e 621 - monosodium glutamate,undecided
fruits and vegetables,czech republic,turkey,pesticide residues,oxamyl,undecided
fruits and vegetables,sweden,serbia,pathogenic micro-organisms,norovirus,undecided
milk and milk products,italy,france,microbial contaminants (other),aerobic plate count too high,undecided
fruits and vegetables,finland,thailand,pesticide residues,unauthorised substance omethoate,undecided
cereals and bakery products,luxembourg,belgium,genetically modified food or feed,unauthorised genetically modified,undecided
fruits and vegetables,belgium,thailand,pesticide residues,indoxacarb,undecided
bivalve molluscs and products thereof,denmark,"france,ireland",pathogenic micro-organisms,norovirus,undecided
meat and meat products (other than poultry),denmark,spain,pathogenic micro-organisms,salmonella enterica ser. typhimurium dt 193 - multiresistant,undecided
other food product / mixed,germany,china,unauthorised transit,",",undecided
meat and meat products (other than poultry),belgium,"belgium,mexico","residues of veterinary medicinal products,residues of veterinary medicinal products","residue level above mrl for dexamethasone,unauthorised substance triamcinolone acetonide",undecided
prepared dishes and snacks,united kingdom,china,"pathogenic micro-organisms,microbial contaminants (other)","bacillus cereus,bacillus subtilis",undecided
food contact materials,germany,denmark,"migration,migration,migration,migration","migration of 2-methyl-4'-(methylthio)-2-morpholinopropiophenone,migration of 2.4-diethyl thioxanthone (detx),migration of ethyl-4-dimethylaminobenzoate,migration of isopropyl thioxanthone (itx)",undecided
meat and meat products (other than poultry),slovakia,poland,"food additives and flavourings,food additives and flavourings","e 200 - sorbic acid unauthorised,e 210 - benzoic acid unauthorised",undecided
cereals and bakery products,slovakia,syria,allergens,traces of gluten,undecided
feed premixtures,germany,"china,germany",environmental pollutants,dioxins,undecided
fruits and vegetables,united kingdom,thailand,pesticide residues,indoxacarb,undecided
food contact materials,slovenia,china,metals,migration of nickel,undecided
"dietetic foods, food supplements, fortified foods",italy,unknown origin,"labelling absent/incomplete/incorrect,poor or insufficient controls","insufficient labelling,unauthorised operator",undecided
poultry meat and poultry meat products,denmark,argentina,pathogenic micro-organisms,salmonella enterica ser. heidelberg,undecided
"nuts, nut products and seeds",spain,argentina,microbial contaminants (other),infested with moulds,undecided
cereals and bakery products,germany,"austria,belgium",genetically modified food or feed,unauthorised genetically modified,undecided
honey and royal jelly,united kingdom,mexico,residues of veterinary medicinal products,streptomycin unauthorised,undecided
bivalve molluscs and products thereof,spain,turkey,organoleptic aspects,spoilage,undecided
"dietetic foods, food supplements, fortified foods",italy,sri lanka,mycotoxins,aflatoxins,undecided
herbs and spices,italy,nigeria,"packaging defective / incorrect,poor or insufficient controls","improper packaging,poor hygienic state",undecided
fruits and vegetables,czech republic,"chile,slovakia",microbial contaminants (other),infested with moulds,undecided
natural mineral water,estonia,ukraine,food additives and flavourings,too high content of nitrite,undecided
fruits and vegetables,hungary,turkey,pesticide residues,oxamyl,undecided
pet food,france,france,packaging defective / incorrect,bulging packaging,undecided
cereals and bakery products,united kingdom,nepal,allergens,gluten undeclared,undecided
fish and fish products,poland,vietnam,residues of veterinary medicinal products,unauthorised substance malachite green,undecided
